"Species","i-LCCC M mean","i-LCCC M sd","i-LCCC M 2.5%","i-LCCC M 97.5%","Catch Comp M mean","Catch Comp M sd","Catch Comp M 2.5%","Catch Comp M 97.5%"
"Blue crab",0.08485330353578,0.0109316811386298,0.0685195327515982,0.109690210267534,0.182928288478248,0.0215243819579312,0.141135114278501,0.225656049889965
"Gulf killifish",0.0234277330011388,0.00234212359517039,0.0183161807526092,0.0265696089760489,0.0255816826140035,0.00929412762631195,0.00821218371442368,0.0442610069010103
"Pinfish",0.01659092390423,0.0038024968463563,0.00863487705683337,0.0233565696838342,0.0157517045652084,0.00215380904524706,0.0115377948403603,0.0200832849227428
"Silver perch",0.0237992961905263,0.00278243230548891,0.0184011933384733,0.0289803525738951,0.082044726883103,0.00739602028784646,0.0685267751314124,0.0990773647180603
"Spotted seatrout",0.0366265394438411,0.0033211492067835,0.0292067134184887,0.0432436764505954,0.0536091012848169,0.00555950934341502,0.0429440546580149,0.0641133076790396
"White shrimp",0.2824105090107,0.0230575507923391,0.231370874465772,0.327406086859962,0.292320439863933,0.0148187424592387,0.266189399542268,0.323294230191606
"White trout",0.02937497775729,0.014796478826826,-0.0060787943045888,0.0406012806884746,0.0425662215005744,0.0154259558190192,0.0142712839135174,0.0749758762700374
